ADDACC,Add Access Code,アクセスコードを追加する
RCLTMPSTG,Reclaim Temporary Storage,一時記憶域を再利用する
RCVDST,Receive Distribution,配布を受信する
RCVF,Receive File,ファイルを受信する
RCVJRNE,Receive Journal Entry,ジャーナル項目を受信する
RCVMSG,Receive Message,メッセージを受信する
RCVNETF,Receive Network File,ネットワーク・ファイルを受信する
RCVTIEF,Receive TIE File,TIEファイルを受信する
RD,Remove Directory,ディレクトリーを除去する
REN,Rename Object,オブジェクト名を変更する
RGZDLO,Reorganize Document Library Object,文書ライブラリー・オブジェクトを再編成する
RGZPFM,Reorganize Physical File Member,物理ファイル・メンバーを再編成する
RLSCMNDEV,Release Communications Device,通信装置を解放する
RLSDSTQ,Release Distribution Queue,配布待ち行列を解放する
RLSIFSLCK,Release File System Locks,ファイル・システム・ロックを解放する
RLSJOB,Release Job,ジョブを解放する
RLSJOBJS,Release Job using Advanced Job Scheduler,AJSを使用してジョブを解放する
RLSJOBQ,Release Job Queue,ジョブ待ち行列を解放する
RLSJOBSCDE,Release Job Schedule Entry,ジョブ・スケジュール項目を解放する
RLSOUTQ,Release Output Queue,出力待ち行列を解放する
RLSPTF,Release Program Temporary Fix,PTFを解放する
RLSRDR,Release Reader,読み取りプログラムを解放する
RLSRMTPHS,Release Remote Phase,リモート・フェーズを解放する
RLSSPLF,Release Spooled File,スプール・ファイルを解放する
RLSWTR,Release Writer,書き出しプログラムを解放する
RMDIR,Remove Directory,ディレクトリーを除去する
RMVACC,Remove Access Code,アクセス・コードを除去する
RMVACCWEB,Remove Access for Web,Webアクセスを除去する
RMVACCWEB2,Remove Access for Web,Webアクセスを除去する (2)
RMVAJE,Remove Autostart Job Entry,自動開始ジョブ項目を除去する
RMVALRD,Remove Alert Description,アラート記述を除去する
RMVASPCPYD,Remove ASP Copy Description,ASPコピー記述を除去する
RMVAUTLE,Remove Authorization List Entry,権限リスト項目を除去する
RMVBKP,Remove Breakpoint,ブレークポイントを除去する
RMVBNDDIRE,Remove Binding Directory Entry,バインド・ディレクトリー項目を除去する
RMVCADMRE,Remove Cluster Administrative Domain Managed Resource Entry,クラスター管理ドメイン管理リソース項目を除去する
RMVCADNODE,Remove Cluster Administrative Domain Node Entry,クラスター管理ドメイン・ノード項目を除去する
RMVCFGLE,Remove Configuration List Entries,構成リスト項目を除去する
RMVCKMKSFE,Remove Crytographic Key Management Keystore File Entry,暗号鍵管理キーストア・ファイル項目を除去する
RMVCLUMON,Remove Cluster Monitor,クラスター・モニターを除去する
RMVCLUNODE,Remove Cluster Node Entry,クラスター・ノード項目を除去する
RMVCMNE,Remove Communications Entry,通信項目を除去する
RMVCOMSNMP,Remove Community for SNMP,SNMPコミュニティーを除去する
RMVCRGDEVE,Remove Cluster Resource Group Device Entry,CRG装置項目を除去する
RMVCRGNODE,Remove Cluster Resource Group Node Entry,CRGノード項目を除去する
RMVDEVDMNE,Remove Device Domain Entry,装置ドメイン項目を除去する
RMVDFRID,Remove Defer Identifier,据え置きIDを除去する
RMVDIR,Remove Directory,ディレクトリーを除去する
RMVDIRE,Remove Directory Entry,ディレクトリー項目を除去する
RMVDIRINST,Remove Directory Server Instance,ディレクトリー・サーバー・インスタンスを除去する
RMVDIRSHD,Remove Directory Shadow System,ディレクトリー・シャドー・システムを除去する
RMVDLOAUT,Remove Document Library Object Authority,文書ライブラリー・オブジェクト権限を除去する
RMVDPRREG,Remove DataPropagator Registration,DataPropagator登録を除去する
RMVDPRSUB,Remove DataPropagator Subscription,DataPropagatorサブスクリプションを除去する
RMVDPRSUBM,Remove DataPropagator Subscription Member,DataPropagatorサブスクリプション・メンバーを除去する
RMVDSTLE,Remove Distribution List Entry,配布リスト項目を除去する
RMVDSTQ,Remove Distribution Queue,配布待ち行列を除去する
RMVDSTRTE,Remove Distribution Route,配布経路を除去する
RMVDSTSYSN,Remove Secondary System Name,2次システム名を除去する
RMVDWDFN,Remove Disk Watcher Definition,ディスク監視機能定義を除去する
RMVEMLCFGE,Remove Configuration Entry,構成項目を除去する
RMVENVVAR,Remove Environment Variable,環境変数を除去する
RMVEWCBCDE,Remove Wireless Controller Barcode Entry,無線コントローラー・バーコード項目を除去する
RMVEWCPTCE,Remove Wireless Controller PTC Entry,無線コントローラーPTC項目を除去する
RMVEXITPGM,Remove Exit Program,出口プログラムを除去する
RMVFNTTBLE,Remove Font Table Entry,フォント・テーブル項目を除去する
RMVFTRACNE,Remove Filter Action Entry,フィルター処置項目を除去する
RMVFTRSLTE,Remove Filter Selection Entry,フィルター選択項目を除去する
RMVHACFGD,Remove HA Configuration Description,HA構成記述を除去する
RMVHAPCY,Remove High Availability Policy,高可用性ポリシーを除去する
RMVHSTJS,Remove History using Advanced Job Scheduler,AJSを使用してヒストリーを除去する
RMVICFDEVE,Remove Intersystem Communications Function Device Entry,ICF装置項目を除去する
RMVIMGCLGE,Remove Image Catalog Entry,イメージ・カタログ項目を除去する
RMVJOBJS,Remove Job using Advanced Job Scheduler,AJSを使用してジョブを除去する
RMVJOBQE,Remove Job Queue Entry,ジョブ待ち行列項目を除去する
RMVJOBSCDE,Remove Job Schedule Entry,ジョブ・スケジュール項目を除去する
RMVJRNCHG,Remove Journaled Changes,ジャーナル済み変更を除去する
RMVJWDFN,Remove Job Watcher Definition,ジョブ監視機能定義を除去する
RMVKRBKTE,Remove Kerberos Keytab Entry,Kerberosキータブ項目を除去する
RMVLANADPI,Remove LAN Adapter Information,LANアダプター情報を除去する
RMVLANADPT,Remove LAN Adapter,LANアダプターを除去する
RMVLIBLE,Remove Library List Entry,ライブラリー・リスト項目を除去する
RMVLICKEY,Remove License Key Information,ライセンス・キー情報を除去する
RMVLNK,Remove Link,リンクを除去する
RMVLOGEBRM,Remove Log Entries from BRMS,BRMSからログ項目を除去する
RMVLOGEJS,Remove Log Entries from Job Scheduler,ジョブ・スケジューラーからログ項目を除去する
RMVM,Remove Member,メンバーを除去する
RMVMEDBRM,Remove Media Volumes from BRMS,BRMSから媒体ボリュームを除去する
RMVMEDIBRM,Remove Media Information from BRMS,BRMSから媒体情報を除去する
RMVMFS,Remove Mounted File System,マウント・ファイル・システムを除去する
RMVMSG,Remove Message,メッセージを除去する
RMVMSGD,Remove Message Description,メッセージ記述を除去する
RMVNCK,Remove Nickname,ニックネームを除去する
RMVNETJOBE,Remove Network Job Entry,ネットワーク・ジョブ項目を除去する
RMVNETTBLE,Remove Network Table Entry,ネットワーク・テーブル項目を除去する
RMVNODLE,Remove Node List Entry,ノード・リスト項目を除去する
RMVNWSSTGL,Remove Server Storage Link,サーバー記憶域リンクを除去する
RMVOPTCTG,Remove Optical Cartridge,光ディスク・カートリッジを除去する
RMVOPTSVR,Remove Optical Server,光ディスク・サーバーを除去する
RMVOSPFARA,Remove OSPF Area,OSPFエリアを除去する
RMVOSPFIFC,Remove OSPF Interface,OSPFインターフェースを除去する
RMVOSPFLNK,Remove OSPF Virtual Link,OSPF仮想リンクを除去する
RMVOSPFRNG,Remove OSPF Range,OSPF範囲を除去する
RMVPCLTBLE,Remove Protocol Table Entry,プロトコル・テーブル項目を除去する
RMVPEXDFN,Remove Performance Explorer Definition,PEX定義を除去する
RMVPEXFTR,Remove Performance Explorer Filter,PEXフィルターを除去する
RMVPFCST,Remove Physical File Constraint,物理ファイル制約を除去する
RMVPFTRG,Remove Physical File Trigger,物理ファイル・トリガーを除去する
RMVPGM,Remove Program,プログラムを除去する
RMVPJE,Remove Prestart Job Entry,事前開始ジョブ項目を除去する
RMVPTF,Remove Program Temporary Fix,PTFを除去する
RMVRDBDIRE,Remove Relational Database Directory Entry,RDBディレクトリー項目を除去する
RMVREXBUF,Remove REXX Buffer,REXXバッファーを除去する
RMVRIPACP,Remove Routing Information Protocol Accepted Route,RIP承認経路を除去する
RMVRIPFLT,Remove Routing Information Protocol Filter,RIPフィルターを除去する
RMVRIPIFC,Remove Routing Information Protocol Interface,RIPインターフェースを除去する
RMVRIPIGN,Remove Ignored Routing Information Protocol Neighbor,無視RIP隣接ルーターを除去する
RMVRMTDFN,Remove Remote Definition,リモート定義を除去する
RMVRMTJRN,Remove Remote Journal,リモート・ジャーナルを除去する
RMVRPTOND,Remove Report,レポートを除去する
RMVRPYLE,Remove Reply List Entry,応答リスト項目を除去する
RMVRTGE,Remove Routing Entry,ルーティング項目を除去する
RMVSCHIDXE,Remove Search Index Entry,検索索引項目を除去する
RMVSDSTLE,Remove SMTP Dist List Entry,SMTP配布リスト項目を除去する
RMVSMTPLE,Remove SMTP List Entry,SMTPリスト項目を除去する
RMVSMTPRLE,Remove Remote Login Entry,リモート・ログイン項目を除去する
RMVSOCE,Remove Sphere of Control Entry,制御範囲項目を除去する
RMVSRVTBLE,Remove Service Table Entry,サービス・テーブル項目を除去する
RMVSVCCPYD,Remove SAN Volume Controller ASP Copy Description,SVC ASPコピー記述を除去する
RMVSVRAUTE,Remove Server Authentication Entry,サーバー権限項目を除去する
RMVTAPCTG,Remove Tape Cartridge,磁気テープ・カートリッジを除去する
RMVTCPHTE,Remove TCP/IP Host Table Entry,TCP/IPホスト・テーブル項目を除去する
RMVTCPIFC,Remove TCP/IP Interface,TCP/IPインターフェースを除去する
RMVTCPPORT,Remove TCP/IP Port Restriction,TCP/IPポート制約を除去する
RMVTCPRTE,Remove TCP/IP Route,TCP/IP経路を除去する
RMVTCPSVR,Remove TCP/IP Server,TCP/IPサーバーを除去する
RMVTCPTBL,Remove TCP/IP Table,TCP/IPテーブルを除去する
RMVTRC,Remove Trace,トレースを除去する
RMVTRCFTR,Remove Trace Filter,トレース・フィルターを除去する
RMVUSRSMTP,Remove User SMTP,ユーザーSMTPを除去する
RMVUSRSNMP,Remove User for SNMP,SNMPユーザーを除去する
RMVVACSNMP,Remove VACM for SNMP,SNMPのVACMを除去する
RMVWLCGRP,Remove Workload Group,作業負荷グループを除去する
RMVWLCPRDE,Remove Workload Product Entry,作業負荷プロダクト項目を除去する
RMVWSE,Remove Work Station Entry,ワークステーション項目を除去する
RNDC,Run Remote Name Daemon Control Command,RNDCコマンドを実行する
RNM,Rename Object,オブジェクト名を変更する
RNMDIRE,Rename Directory Entry,ディレクトリー項目名を変更する
RNMDLO,Rename Document Library Object,文書ライブラリー・オブジェクト名を変更する
RNMDSTL,Rename Distribution List,配布リスト名を変更する
RNMJOBJS,Rename Job using Advanced Job Scheduler,AJSを使用してジョブ名を変更する
RNMLANADPI,Rename LAN Adapter,LANアダプター名を変更する
RNMM,Rename Member,メンバー名を変更する
RNMNCK,Rename Nickname,ニックネームを変更する
RNMOBJ,Rename Object,オブジェクト名を変更する
RNMSDSTL,Rename SMTP Dist List,SMTP配布リスト名を変更する
RNMTCPHTE,Rename TCP/IP Host Table Entry,TCP/IPホスト・テーブル項目名を変更する
ROLLBACK,Rollback,ロールバックする
RPCBIND,Start Remote Procedure Call Binder Daemon,RPCバインダー・デーモンを開始する
RPCGEN,Convert Remote Procedure Call Source,RPCソースを変換する
RPLDOC,Replace Document,文書を置き換える
RRTJOB,Reroute Job,ジョブを経路変更する
RSMBKP,Resume Breakpoint,ブレークポイントを再開する
RSMCTLRCY,Resume Controller Recovery,コントローラー回復を再開する
RSMDEVRCY,Resume Device Recovery,装置回復を再開する
RSMLINRCY,Resume Line Recovery,回線回復を再開する
RSMRTVBRM,Resume Retrieve using BRMS,BRMSを使用して検索を再開する
RST,Restore Object,オブジェクトを復元する
RSTAPARDTA,Restore APAR Data,APARデータを復元する
RSTAUT,Restore Authority,権限を復元する
RSTAUTBRM,Restore Authority using BRMS,BRMSを使用して権限を復元する
RSTBRM,Restore Object using BRMS,BRMSを使用してオブジェクトを復元する
RSTCFG,Restore Configuration,構成を復元する
RSTDFROBJ,Restore Deferred Objects,据え置きオブジェクトを復元する
RSTDLO,Restore Document Library Object,文書ライブラリー・オブジェクトを復元する
RSTDLOBRM,Restore Document Library Object using BRMS,BRMSを使用してDLOを復元する
RSTHAPCY,Restore High Availability Policy,高可用性ポリシーを復元する
RSTLIB,Restore Library,ライブラリーを復元する
RSTLIBBRM,Restore Library using BRMS,BRMSを使用してライブラリーを復元する
RSTLICPGM,Restore Licensed Program,ライセンス・プログラムを復元する
RSTOBJ,Restore Object,オブジェクトを復元する
RSTOBJBRM,Restore Object using BRMS,BRMSを使用してオブジェクトを復元する
RSTPFRCOL,Restore Performance Collection,パフォーマンス収集を復元する
RSTS36F,Restore S/36 File,S/36ファイルを復元する
RSTS36LIBM,Restore S/36 Library Members,S/36ライブラリー・メンバーを復元する
RSTSYSINF,Restore System Information,システム情報を復元する
RSTUSRPRF,Restore User Profiles,ユーザー・プロファイルを復元する
RTVASPCPYD,Retrieve ASP Copy Description,ASPコピー記述を検索する
RTVASPSSN,Retrieve ASP Session,ASPセッションを検索する
RTVAUTLE,Retrieve Authorization List Entry,権限リスト項目を検索する
RTVBCKUP,Retrieve Backup Options,バックアップ・オプションを検索する
RTVBNDSRC,Retrieve Binder Source,バインダー・ソースを検索する
RTVCFGSRC,Retrieve Configuration Source,構成ソースを検索する
RTVCFGSTS,Retrieve Configuration Status,構成状況を検索する
RTVCLDSRC,Retrieve C Locale Description,Cロケール記述を検索する
RTVCLNUP,Retrieve Cleanup,クリーンアップを検索する
RTVCLSRC,Retrieve CL Source,CLソースを検索する
RTVCLU,Retrieve Cluster,クラスターを検索する
RTVCRG,Retrieve Cluster Resource Group,クラスター・リソース・グループを検索する
RTVCSMSSN,Retrieve CSM ASP Session,CSM ASPセッションを検索する
RTVCURDIR,Retrieve Current Directory,現行ディレクトリーを検索する
RTVDIRINF,Retrieve Directory Information,ディレクトリー情報を検索する
RTVDLOAUT,Retrieve Document Library Object Authority,DLO権限を検索する
RTVDLONAM,Retrieve Document Library Object Name,DLO名を検索する
RTVDOC,Retrieve Document,文書を検索する
RTVDOCOND,Retrieve Document,文書を検索する
RTVDSKINF,Retrieve Disk Information,ディスク情報を検索する
RTVDTAARA,Retrieve Data Area,データ域を検索する
RTVGRPA,Retrieve Group Attributes,グループ属性を検索する
RTVIMGCLG,Retrieve Image Catalog,イメージ・カタログを検索する
RTVJOBA,Retrieve Job Attributes,ジョブ属性を検索する
RTVJRNE,Retrieve Journal Entry,ジャーナル項目を検索する
RTVLIBD,Retrieve Library Description,ライブラリー記述を検索する
RTVMBRD,Retrieve Member Description,メンバー記述を検索する
RTVMSG,Retrieve Message,メッセージを検索する
RTVNETA,Retrieve Network Attributes,ネットワーク属性を検索する
RTVOBJD,Retrieve Object Description,オブジェクト記述を検索する
RTVPDGPRF,Retrieve Print Descriptor Group Profile,印刷記述子グループ・プロファイルを検索する
RTVPWRSCDE,Retrieve Power Schedule Entry,電源スケジュール項目を検索する
RTVQMFORM,Retrieve Query Management Form,QMフォームを検索する
RTVQMQRY,Retrieve Query Mgmt Query,QM照会を検索する
RTVS36A,Retrieve S/36 Environment Attributes,S/36環境属性を検索する
RTVSRVAGT,Retrieve Service Agent,サービス・エージェントを検索する
RTVSVCCPYD,Retrieve SVC Copy Description,SVCコピー記述を検索する
RTVSVCSSN,Retrieve SVC Session,SVCセッションを検索する
RTVSWLSRC,Retrieve Stop Word List Source,ストップワード・リスト・ソースを検索する
RTVSYSINF,Retrieve System Information,システム情報を検索する
RTVSYSVAL,Retrieve System Value,システム値を検索する
RTVTBLSRC,Retrieve Table Source,テーブル・ソースを検索する
RTVTCPINF,Retrieve TCP/IP Information,TCP/IP情報を検索する
RTVUSRPRF,Retrieve User Profile,ユーザー・プロファイルを検索する
RTVUSRPRTI,Retrieve User Print Information,ユーザー印刷情報を検索する
RTVWSCST,Retrieve Workstation Customizing Object Source,WSカスタマイズ・オブジェクト・ソースを検索する
RUNBCKUP,Run Backup,バックアップを実行する
RUNDNSUPD,Run Domain Name System Update,DNS更新を実行する
RUNJVA,Run Java Program,Javaプログラムを実行する
RUNLPDA,Run LPDA-2,LPDA-2を実行する
RUNQRY,Run Query,Queryを実行する
RUNRMTCMD,Run Remote Command,リモート・コマンドを実行する
RUNRNDCCMD,Run Remote Name Daemon Control Command,RNDCコマンドを実行する
RUNSQL,Run SQL,SQLを実行する
RUNSQLSTM,Run SQL Statement,SQLステートメントを実行する
RVKACCAUT,Revoke Access Code Authority,アクセス・コード権限を取り消す
RVKDPRAUT,Revoke DataPropagator Authority,DataPropagator権限を取り消す
RVKOBJAUT,Revoke Object Authority,オブジェクト権限を取り消す
RVKPUBAUT,Revoke Public Authority,パブリック権限を取り消す
RVKUSRPMN,Revoke User Permission,ユーザー許可を取り消す
RVKWSOAUT,Revoke Workstation Object Authority,ワークステーション・オブジェクト権限を取り消す
SAV,Save Object,オブジェクトを保管する
SAVAPARDTA,Save APAR Data,APARデータを保管する
SAVBRM,Save Object using BRMS,BRMSを使用してオブジェクトを保管する
SAVCFG,Save Configuration,構成を保管する
SAVCHGOBJ,Save Changed Objects,変更されたオブジェクトを保管する
SAVDLO,Save Document Library Object,文書ライブラリー・オブジェクトを保管する
SAVDLOBRM,Save Document Library Object using BRMS,BRMSを使用してDLOを保管する
SAVFLRLBRM,Save Folder List using BRMS,BRMSを使用してフォルダー・リストを保管する
SAVHAPCY,Save High Availability Policy,高可用性ポリシーを保管する
SAVLIB,Save Library,ライブラリーを保管する
SAVLIBBRM,Save Library using BRMS,BRMSを使用してライブラリーを保管する
SAVLICPGM,Save Licensed Program,ライセンス・プログラムを保管する
SAVMEDIBRM,Save Media Information using BRMS,BRMSを使用して媒体情報を保管する
SAVOBJ,Save Object,オブジェクトを保管する
SAVOBJBRM,Save Object using BRMS,BRMSを使用してオブジェクトを保管する
SAVOBJLBRM,Save Object List using BRMS,BRMSを使用してオブジェクト・リストを保管する
SAVPFRCOL,Save Performance Collection,パフォーマンス収集を保管する
SAVRST,Save Restore,保管復元する
SAVRSTCFG,Save Restore Configuration,構成を保管復元する
SAVRSTCHG,Save Restore Changed Objects,変更オブジェクトを保管復元する
SAVRSTDLO,Save Restore Document Library Object,DLOを保管復元する
SAVRSTLIB,Save Restore Library,ライブラリーを保管復元する
SAVRSTOBJ,Save Restore Object,オブジェクトを保管復元する
SAVS36F,Save S/36 File,S/36ファイルを保管する
SAVS36LIBM,Save S/36 Library Members,S/36ライブラリー・メンバーを保管する
SAVSAVFBRM,Save Save Files using BRMS,BRMSを使用して保管ファイルを保管する
SAVSAVFDTA,Save Save File Data,保管ファイル・データを保管する
SAVSECDTA,Save Security Data,機密保護データを保管する
SAVSYS,Save System,システムを保管する
SAVSYSBRM,Save System using BRMS,BRMSを使用してシステムを保管する
SAVSYSINF,Save System Information,システム情報を保管する
SBMCMDJS,Submit Console Command,コンソール・コマンドを投入する
SBMCODEJOB,Submit CODE Batch Job,CODEバッチ・ジョブを投入する
SBMDBJOB,Submit Data Base Jobs,データベース・ジョブを投入する
SBMFNCJOB,Submit Finance Job,ファイナンス・ジョブを投入する
SBMJOB,Submit Job,ジョブを投入する
SBMJOBJS,Submit Job using Advanced Job Scheduler,AJSを使用してジョブを投入する
SBMNETJOB,Submit Network Job,ネットワーク・ジョブを投入する
SBMNWSCMD,Submit Network Server Command,ネットワーク・サーバー・コマンドを投入する
SBMRMTCMD,Submit Remote Command,リモート・コマンドを投入する
SETASPGRP,Set Auxiliary Storage Pool Group,ASPグループを設定する
SETATNPGM,Set Attention Program,アテンション・プログラムを設定する
SETCSTDTA,Set Customization Data,カスタマイズ・データを設定する
SETDEPJS,Set Dependent Job using Advanced Job Scheduler,AJSを使用して従属ジョブを設定する
SETDLJS,Set Data Library using Advanced Job Scheduler,AJSを使用してデータ・ライブラリーを設定する
SETDNSRVK,Set DNSSEC REVOKE Bit,DNSSEC REVOKEビットを設定する
SETFCNBRM,Set Function using BRM,BRMを使用して機能を設定する
SETKBDMAP,Set Keyboard Map,キーボード・マップを設定する
SETMEDBRM,Set Media Controls using BRMS,BRMSを使用して媒体制御を設定する
SETMSTKEY,Set Master Key,マスター・キーを設定する
SETOBJACC,Set Object Access,オブジェクト・アクセスを設定する
SETPGMINF,Set Program Information,プログラム情報を設定する
SETRTVBRM,Set Retrieve Controls for BRMS,BRMSの検索制御を設定する
SETSTPJS,Set Step using Advanced Job Scheduler,AJSを使用してステップを設定する
SETTAPCGY,Set Tape Category,磁気テープ・カテゴリーを設定する
SETUPGENV,Set Upgrade Environment,アップグレード環境を設定する
SETUSRBRM,Set User Usage for BRMS,BRMSのユーザー使用法を設定する
SETVTMAP,Set VT Keyboard Map,VTキーボード・マップを設定する
SETVTTBL,Set VT Mapping Tables,VTマッピング・テーブルを設定する
SIGNOFF,Sign Off,サインオフする
SLTCMD,Select Command,コマンドを選択する
SNDARPRQS,Send Address Resolution Protocol Request,ARP要求を送信する
SNDBRKMSG,Send Break Message,折り込みメッセージを送信する
SNDDST,Send Distribution,配布を送信する
SNDDSTJS,Send Distribution using Advanced Job Scheduler,AJSを使用して配布を送信する
SNDDSTQ,Send Distribution Queue,配布待ち行列を送信する
SNDF,Send File,ファイルを送信する
SNDJRNE,Send Journal Entry,ジャーナル項目を送信する
SNDMSG,Send Message,メッセージを送信する
SNDNETF,Send Network File,ネットワーク・ファイルを送信する
SNDNETMSG,Send Network Message,ネットワーク・メッセージを送信する
SNDNETSPLF,Send Network Spooled File,ネットワーク・スプール・ファイルを送信する
SNDNGHSOL,Send Neighbor Solicitation,近隣要請を送信する
SNDPGMMSG,Send Program Message,プログラム・メッセージを送信する
SNDPTFORD,Send Program Temporary Fix Order,PTFオーダーを送信する
SNDRCVF,Send/Receive File,ファイルを送受信する
SNDRPTJS,Send Reports using Advanced Job Scheduler,AJSを使用して報告書を送信する
SNDRPY,Send Reply,応答を送信する
SNDSMTPEMM,Send SMTP E-mail Message,SMTP E-mailメッセージを送信する
SNDSRVRQS,Send Service Request,サービス要求を送信する
SNDTCPSPLF,Send TCP/IP Spooled File,TCP/IPスプール・ファイルを送信する
SNDTIEF,Send TIE File,TIEファイルを送信する
SNDUSRMSG,Send User Message,ユーザー・メッセージを送信する
STATFS,Display Mounted File System Information,マウント・ファイル・システム情報を表示する
STRACCWEB,Start Access for Web,Webアクセスを開始する
STRACCWEB2,Start Access for Web,Webアクセスを開始する (2)
STRAFPU,Start Advanced Function Printer Utilities,AFPユーティリティーを開始する
STRAGTSRV,Start Agent Services,エージェント・サービスを開始する
STRARCBRM,Start Archive using BRMS,BRMSを使用してアーカイブを開始する
STRASMOND,Start Archived Storage Management,アーカイブ済み記憶域管理を開始する
STRASPBAL,Start Auxiliary Storage Pool Balance,ASPバランスを開始する
STRASPSSN,Start ASP Session,ASPセッションを開始する
STRAUTCOL,Start Authority Collection,権限収集を開始する
STRBALBRM,Start Media Balancing for BRMS,BRMSの媒体バランシングを開始する
STRBKUBRM,Start Backup using BRMS,BRMSを使用してバックアップを開始する
STRCAD,Start Cluster Administrative Domain,クラスター管理ドメインを開始する
STRCBLDBG,Start COBOL Debug,COBOLデバッグを開始する
STRCHTSVR,Start Clustered Hash Table Server,クラスター化ハッシュ・テーブル・サーバーを開始する
STRCLNUP,Start Cleanup,クリーンアップを開始する
STRCLUNOD,Start Cluster Node,クラスター・ノードを開始する
STRCMNSVR,Start Communications Server,通信サーバーを開始する
STRCMNTRC,Start Communications Trace,通信トレースを開始する
STRCMTCTL,Start Commitment Control,コミットメント制御を開始する
STRCODE,Start CODE,CODEを開始する
STRCODECMD,Start CODE Command,CODEコマンドを開始する
STRCPYSCN,Start Copy Screen,画面コピーを開始する
STRCRG,Start Cluster Resource Group,クラスター・リソース・グループを開始する
STRCRGCNR,Start CRG Container,CRGコンテナーを開始する
STRCSMSSN,Start CSM ASP Session,CSM ASPセッションを開始する
STRDBG,Start Debug,デバッグを開始する
STRDBGSVR,Start Debug Server,デバッグ・サーバーを開始する
STRDBMON,Start Database Monitor,データベース・モニターを開始する
STRDBRDR,Start Data Base Reader,データベース読み取りプログラムを開始する
STRDFU,Start Data File Utility,DFUを開始する
STRDIGQRY,Start DIG Query,DIG照会を開始する
STRDIRSHD,Start Directory Shadowing,ディレクトリー・シャドーイングを開始する
STRDNSQRY,Start NSLOOKUP Query,NSLOOKUP照会を開始する
STRDPRAPY,Start DataPropagator Apply,DataPropagator適用を開始する
STRDPRCAP,Start DataPropagator Capture,DataPropagatorキャプチャーを開始する
STRDSKRGZ,Start Disk Reorganization,ディスク再編成を開始する
STRDSMOND,Start Disk Storage Management,ディスク記憶域管理を開始する
STRDW,Start Disk Watcher,ディスク監視機能を開始する
STREDU,Start Education,教育を開始する
STREML3270,Start 3270 Display Emulation,3270表示装置エミュレーションを開始する
STREPMENV,Start EPM Environment,EPM環境を開始する
STREXPBRM,Start Expiration for BRMS,BRMSの満了処理を開始する
STRFMA,Start Font Management Aid,フォント管理援助を開始する
STRFNTDWN,Start Font Downloader,フォント・ダウンローダーを開始する
STRGRPJS,Start Group using Advanced Job Scheduler,AJSを使用してグループを開始する
STRHOSTQRY,Start HOST Query,HOST照会を開始する
STRHOSTSVR,Start Host Server,ホスト・サーバーを開始する
STRIDD,Start IDDU,IDDUを開始する
STRIMPOND,Start Import,インポートを開始する
STRIMPSMTP,Start Import for SMTP Users,SMTPユーザーのインポートを開始する
STRISDB,Start Interactive Source Debugger,対話式ソース・デバッガーを開始する
STRITF,Start Interactive Terminal Facility,対話式端末機能を実行する
STRJOBTRC,Start Job Trace,ジョブ・トレースを開始する
STRJRN,Start Journal,ジャーナル処理を開始する
STRJRNAP,Start Journal Access Path,ジャーナル・アクセス・パスを開始する
STRJRNLIB,Start Journal Library,ジャーナル・ライブラリーを開始する
STRJRNOBJ,Start Journal Object,ジャーナル・オブジェクトを開始する
STRJRNPF,Start Journal Physical File,ジャーナル物理ファイルを開始する
STRJS,Start Advanced Job Scheduler,AJSを開始する
STRJW,Start Job Watcher,ジョブ監視機能を開始する
STRLOGSVR,Start Job Log Server,ジョブ・ログ・サーバーを開始する
STRMGRBRM,Start Migration using BRMS,BRMSを使用してマイグレーションを開始する
STRMNTBRM,Start Maintenance for BRMS,BRMSの保守を開始する
STRMOD,Start Mode,モードを開始する
STRMONOND,Start Monitor,モニターを開始する
STRMSF,Start Mail Server Framework,メール・サーバー・フレームワークを開始する
STRNETINS,Start Network Install,ネットワーク導入を開始する
STRNFSSVR,Start Network File System Server,NFSサーバーを開始する
STROBJCVN,Start Object Conversion,オブジェクト変換を開始する
STROVLU,Start Overlay Utility,オーバーレイ・ユーティリティーを開始する
STRPASTHR,Start Pass-Through,パススルーを開始する
STRPCCMD,Start PC Command,PCコマンドを開始する
STRPCO,Start PC Organizer,PCオーガナイザーを開始する
STRPDM,Start Programming Development Manager,PDMを開始する
STRPEX,Start Performance Explorer,PEXを開始する
STRPFRCOL,Start Performance Collection,パフォーマンス収集を開始する
STRPFRG,Start Performance Graphics,パフォーマンス・グラフィックスを開始する
STRPFRT,Start Performance Tools,パフォーマンス・ツールを開始する
STRPFRTRC,Start Performance Trace,パフォーマンス・トレースを開始する
STRPFU,Start Print Format Utility,印刷様式ユーティリティーを開始する
STRPGMEXP,Start Program Export List,プログラム・エクスポート・リストを開始する
STRPGMMNU,Start Programmer Menu,プログラマー・メニューを開始する
STRPGMPRF,Start Program Profiling,プログラム・プロファイル作成を開始する
STRPJ,Start Prestart Jobs,事前開始ジョブを開始する
STRPRTEML,Start Printer Emulation,印刷装置エミュレーションを開始する
STRPRTWTR,Start Printer Writer,印刷装置書き出しプログラムを開始する
STRQM,Start DB2 UDB Query Manager,DB2 UDB Query Managerを開始する
STRQMPRC,Start Query Management Proc,QMプロシージャーを開始する
STRQMQRY,Start Query Management Query,QM照会を開始する
STRQRY,Start Query,Queryを開始する
STRQSH,Start QSH,QSHを開始する
STRQST,Start Question and Answer,Q/Aを開始する
STRRCYBRM,Start Recovery using BRMS,BRMSを使用して回復を開始する
